"","estimate","lb","ub","Estimate","x"
"1",-0.49,-0.86,-0.11,"-0.49 [-0.86, -0.11]",""
"2",0.02,-0.06,0.11,"0.02 [-0.06, 0.11]",""
"3",-0.05,-0.15,0.05,"-0.05 [-0.15, 0.05]",""
"4",-0.16,-0.25,-0.07,"-0.16 [-0.25, -0.07]",""
"5",-0.09,-0.35,0.16,"-0.09 [-0.35, 0.16]",""
"6",0.04,-0.18,0.25,"0.04 [-0.18, 0.25]",""
"7",0.18,0.04,0.31,"0.18 [0.04, 0.31]",""
"8",0.01,-0.25,0.26,"0.01 [-0.25, 0.26]",""
"9",-0.08,-0.24,0.08,"-0.08 [-0.24, 0.08]",""
"10",0.59,0.16,1.02,"0.59 [0.16, 1.02]",""
"11",-0.01,-0.21,0.18,"-0.01 [-0.21, 0.18]",""
"12",0.02,-0.08,0.13,"0.02 [-0.08, 0.13]",""
"13",0.01,-0.24,0.26,"0.01 [-0.24, 0.26]",""
"14",0.05,-0.05,0.16,"0.05 [-0.05, 0.16]",""
"15",0.03,-0.08,0.14,"0.03 [-0.08, 0.14]",""
"16",-0.09,-0.28,0.09,"-0.09 [-0.28, 0.09]",""
"17",-0.08,-0.17,0,"-0.08 [-0.17, 0]",""
"18",-0.01,-0.1,0.09,"-0.01 [-0.1, 0.09]",""
"19",0.18,0.01,0.35,"0.18 [0.01, 0.35]",""
"20",-0.08,-0.16,0,"-0.08 [-0.16, 0]",""
"21",-0.02,-0.21,0.17,"-0.02 [-0.21, 0.17]",""
"22",0.02,-0.02,0.05,"0.02 [-0.02, 0.05]",""
"23",-0.03,-0.09,0.03,"-0.03 [-0.09, 0.03]",""
"24",-0.03,-0.08,0.02,"-0.03 [-0.08, 0.02]",""
"25",-0.03,-0.09,0.03,"-0.03 [-0.09, 0.03]",""
"26",-0.02,-0.09,0.05,"-0.02 [-0.09, 0.05]",""
"27",0.07,-0.21,0.35,"0.07 [-0.21, 0.35]",""
"28",0.05,-0.09,0.18,"0.05 [-0.09, 0.18]",""
"29",-0.07,-0.16,0.03,"-0.07 [-0.16, 0.03]",""
"30",-0.04,-0.12,0.05,"-0.04 [-0.12, 0.05]",""
"31",0.11,-0.14,0.35,"0.11 [-0.14, 0.35]",""
"32",-0.04,-0.1,0.03,"-0.04 [-0.1, 0.03]",""
"33",-0.06,-0.27,0.14,"-0.06 [-0.27, 0.14]",""
"34",-0.03,-0.08,0.03,"-0.03 [-0.08, 0.03]",""
"35",0.05,0,0.1,"0.05 [0, 0.1]",""
"36",-0.02,-0.21,0.17,"-0.02 [-0.21, 0.17]",""
"37",0.02,-0.06,0.11,"0.02 [-0.06, 0.11]",""
"38",0.1,-0.41,0.62,"0.1 [-0.41, 0.62]",""
"39",-0.09,-0.18,0,"-0.09 [-0.18, 0]",""
