"","filename","variable","group_id","mean","sd","n","r","se","error_type","plot_type"
"1","CCD351_Fig3.png","percentage of observations","HCfe",10.046511627907,13.3953488372093,9,NA,4.46511627906977,"se","mean_error"
"2","CCD351_Fig3.png","percentage of observations","LC3fe",17.1162790697674,17.8604651162791,9,NA,5.95348837209303,"se","mean_error"
"3","CCD351_Fig3.png","percentage of observations","LC24fe",24.9302325581395,12.6292559988667,8,NA,4.46511627906976,"se","mean_error"
"4","CCD351_Fig3.png","percentage of observations","HCloc",13.3953488372093,7.8139534883721,9,NA,2.6046511627907,"se","mean_error"
"5","CCD351_Fig3.png","percentage of observations","LC3loc",15.6279069767442,10.046511627907,9,NA,3.34883720930233,"se","mean_error"
"6","CCD351_Fig3.png","percentage of observations","LC24loc",21.953488372093,15.7865699985834,8,NA,5.58139534883722,"se","mean_error"
"7","CCD351_Fig3.png","percentage of observations","HCsit",64.3720930232558,11.1627906976744,9,NA,3.72093023255813,"se","mean_error"
"8","CCD351_Fig3.png","percentage of observations","LC3sit",65.1162790697674,18.9767441860465,9,NA,6.32558139534885,"se","mean_error"
"9","CCD351_Fig3.png","percentage of observations","LC24",48.7441860465116,18.9438839983,8,NA,6.69767441860463,"se","mean_error"
"10","CCD351_Fig4.png","zone crossings","HC",11.0460251046025,8.28451882845189,9,NA,2.76150627615063,"se","mean_error"
"11","CCD351_Fig4.png","zone crossings","LC3",10.1673640167364,8.28451882845188,9,NA,2.76150627615063,"se","mean_error"
"12","CCD351_Fig4.png","zone crossings","LC24",16.8200836820084,12.7811769653803,8,NA,4.51882845188285,"se","mean_error"
"13","CCD351_Fig5a.png","percentage feeding","HC",10.7981220657277,0,9,NA,0,"se","mean_error"
"14","CCD351_Fig5a.png","percentage feeding","LC3",22.0657276995305,0,9,NA,0,"se","mean_error"
"15","CCD351_Fig5a.png","percentage feeding","LC24",62.4413145539906,0,8,NA,0,"se","mean_error"
"16","CCD351_Fig5b.png","latency to eat","HC",108.415841584158,0,1,NA,0,"se","mean_error"
"17","CCD351_Fig5b.png","latency to eat","LC3",200.495049504951,75.6114181862842,2,NA,53.4653465346534,"se","mean_error"
"18","CCD351_Fig5b.png","latency to eat","LC24",138.118811881188,49.8133955383617,5,NA,22.2772277227723,"se","mean_error"
"19","CD001_Fig2.png","time moving","HCnov",135.940409683426,60.7943993882625,5,NA,27.1880819366853,"se","mean_error"
"20","CD001_Fig2.png","time moving","HCpred",91.9925512104283,54.9647994469222,5,NA,24.5810055865922,"se","mean_error"
"21","CD001_Fig2.png","time moving","LCnov",120.670391061453,52.4663994720621,5,NA,23.463687150838,"se","mean_error"
"22","CD001_Fig2.png","time moving","LCpred",113.594040968343,59.1287994050223,5,NA,26.4432029795158,"se","mean_error"
"23","CD004_Fig4.png","swimming depth","HC1",2.76811594202898,0.532892066981166,8,NA,0.188405797101449,"se","mean_error"
"24","CD004_Fig4.png","swimming depth","HC2",1.26086956521739,0.122975092380267,8,NA,0.0434782608695645,"se","mean_error"
"25","CD004_Fig4.png","swimming depth","LC1",2.84057971014493,0.368925277140808,8,NA,0.130434782608696,"se","mean_error"
"26","CD004_Fig4.png","swimming depth","LC2",1.33333333333333,0.204958487300447,8,NA,0.0724637681159415,"se","mean_error"
"27","CD004_Fig5a.png","latency to enter","HC1",5.29968454258675,3.5333032851719,8,NA,1.24921135646688,"se","mean_error"
"28","CD004_Fig5a.png","latency to enter","HC2",6.77602523659306,3.96158247125334,8,NA,1.4006309148265,"se","mean_error"
"29","CD004_Fig5a.png","latency to enter","LC1",5.33753943217666,1.60604694780541,8,NA,0.56782334384858,"se","mean_error"
"30","CD004_Fig5a.png","latency to enter","LC2",8.78233438485804,3.96158247125334,8,NA,1.4006309148265,"se","mean_error"
"31","CD004_Fig5b.png","time in light","HC1",18.6036036036036,6.54020686502872,8,NA,2.31231231231231,"se","mean_error"
"32","CD004_Fig5b.png","time in light","HC2",26.9069069069069,5.94564260457159,8,NA,2.10210210210211,"se","mean_error"
